model,mean_error_m,median_error_m,rmse_error_m,max_error_m
Raw Hybrid ExtraTrees-AoA + XGBoost-RSSI,0.8577385758718246,0.6448872089385986,1.121289923513184,3.392129045524004
Feedback-Corrected Hybrid Localization,0.9601753121289872,0.8769965896132232,1.2027334430720116,3.4365948358582417
