0,1,2,3,4,5,6,7,8
662,34,149,71,0,0,0,0,0
210,506,51,148,0,0,0,0,0
225,167,417,110,0,0,0,0,0
132,117,76,604,0,0,0,0,0
0,0,0,0,684,4,29,12,21
0,0,0,0,29,564,69,127,140
0,0,0,0,1,107,405,171,235
0,0,0,0,1,140,50,516,208
0,0,0,0,46,68,149,32,621
