feature,importance
pair23_phase_diff_std,0.03970714258514265
pair13_phase_diff_std,0.03969645599443024
pair24_phase_diff_std,0.0343520409608264
pair14_phase_diff_std,0.034222487834009455
pair24_rssi1,0.02018575979763639
pair24_R11_real,0.019890338377072624
pair24_power1,0.019127930598804854
pair24_rssi_mean,0.01848061255130439
pair14_R22_real,0.01781027006743745
pair14_power2,0.017002702564149257
pair14_rssi2,0.016214625809710066
pair13_R22_real,0.015385451062636665
pair13_power2,0.015177667119387199
pair24_power2,0.014994859420297053
pair24_R22_real,0.01465648439863522
pair13_rssi2,0.014578326582362543
pair24_rssi2,0.013559543195281042
pair23_power2,0.01352762275666839
pair13_rssi_mean,0.01261453256157249
pair13_power1,0.012358685289745429
pair23_power1,0.012348221415625775
pair13_rssi_diff,0.012260146627610565
pair13_R11_real,0.012047294776258042
pair23_rssi_mean,0.011974090766217806
pair23_R22_real,0.01180235205990174
pair13_rssi1,0.011605448941595632
pair14_rssi_mean,0.011488034710267865
pair23_rssi1,0.011211433387965068
pair14_rssi_diff,0.011106031650309961
pair14_power_diff,0.010949534786878146
pair23_R11_real,0.010946228684759179
pair13_power_ratio,0.010862794489064026
pair14_power1,0.010787603823993904
pair14_power_ratio,0.010738306450482474
pair23_unwrap_phase_std,0.01054650667226084
pair13_power_diff,0.010121932609986242
pair23_rssi2,0.00992276500101434
pair14_R11_real,0.00967706158239713
pair24_rssi_diff,0.009529653418013576
pair24_power_diff,0.00930646526492292
pair24_power_ratio,0.009110701253837323
pair13_unwrap_phase_std,0.008970346184591343
pair24_unwrap_phase_std,0.008960198883111994
pair14_rssi1,0.008694447224279851
pair14_unwrap_phase_std,0.007082778738276159
pair23_corr_peak,0.006261592158930668
pair23_power_diff,0.005600942964705019
pair23_rssi_diff,0.00477289864367965
pair13_corr_peak,0.004755270204583181
pair23_power_ratio,0.0046600572590873735
pair24_phase_diff_mean_cos,0.004407855588285934
pair14_corr_peak,0.004300380031382392
pair24_corr_peak,0.00421348711026158
pair13_R12_mag,0.00403817938686432
pair23_R12_mag,0.0038927610565840996
pair24_unwrap_phase_mean,0.0038829146596684612
pair24_phase_diff_median_cos,0.003751638133740366
pair13_phase_diff_mean_cos,0.0037296555292316703
pair13_R12_real,0.003720359895011357
pair13_cov_phase_cos,0.0036249240699740637
pair14_phase_diff_mean_cos,0.0035471745244915805
pair24_phase_diff_median,0.003527939473123573
pair24_unwrap_phase_median,0.003521360385134274
pair13_R12_phase_cos,0.003511274085038271
pair24_R12_mag,0.0034712987509868897
pair14_R12_mag,0.003458454335469582
pair24_phase_diff_median_sin,0.0034241189800154536
pair23_phase_diff_mean_cos,0.003399355739155773
pair23_phase_diff_median_cos,0.003337667883204852
pair24_phase_diff_median_wrap,0.0033215630360193165
pair13_unwrap_phase_mean,0.003317336965080372
pair23_unwrap_phase_mean,0.0031995436539974907
pair14_R12_real,0.003158142972024901
pair24_phase_diff_mean_sin,0.0031557486202536257
pair23_phase_diff_median,0.003129973556091496
pair23_phase_diff_median_sin,0.0030539129108257553
pair14_R12_phase_cos,0.0030277191897076262
pair23_R12_real,0.002982253695943075
pair13_unwrap_phase_median,0.0029712290387628754
pair13_phase_diff_median,0.0029647583179643177
pair13_phase_diff_mean_sin,0.0029408526862113485
pair23_cov_phase_cos,0.00293415270694816
pair24_R12_phase_cos,0.0029141710918911897
pair23_phase_diff_median_wrap,0.0029083886462180687
pair23_R12_phase_cos,0.0028956650513093643
pair24_phase_diff_mean,0.0028800676267932987
pair14_cov_phase_cos,0.0028765659323099673
pair24_phase_diff_mean_wrap,0.0028743509094245633
pair24_cov_phase_cos,0.0028700939563132202
pair24_R12_real,0.0028624141116807707
pair13_phase_diff_median_sin,0.002852099844684684
pair23_unwrap_phase_median,0.002833060913270811
pair14_phase_diff_mean_sin,0.002790732291987796
pair13_R12_phase_sin,0.0027076071921547976
pair23_phase_diff_mean_sin,0.002672883341087356
pair13_phase_diff_median_wrap,0.0026706969127261353
pair13_unwrap_phase_median_cos,0.0026570361842597383
pair24_unwrap_phase_median_cos,0.002651630321370584
pair13_phase_diff_median_cos,0.0026475568520309745
pair13_R12_imag,0.002639415457055069
pair13_cov_phase_sin,0.002636228729713848
pair14_cov_phase_sin,0.002636066093138191
pair14_unwrap_phase_median_cos,0.0026161278352466078
pair23_cov_phase_sin,0.0026149094160896227
pair14_unwrap_phase_mean_cos,0.0026129332572643045
pair14_R12_phase_sin,0.0026073983491764646
pair23_unwrap_phase_median_sin,0.0026073334873761827
pair24_aoa_physics_deg,0.0026046713142070955
pair23_unwrap_phase_median_cos,0.0026004968514905897
pair23_unwrap_phase_mean_cos,0.002597109526498278
pair13_unwrap_phase_mean_cos,0.002595604567174519
pair13_unwrap_phase_mean_sin,0.0025933524465928037
pair23_unwrap_phase_mean_sin,0.0025913363351768716
pair23_R12_phase_sin,0.002589178537837503
pair24_unwrap_phase_median_sin,0.0025869026299502633
pair14_unwrap_phase_mean_sin,0.0025826753112073533
pair14_phase_diff_median_sin,0.0025608326045965172
pair24_unwrap_phase_mean_cos,0.002556548262696768
pair14_unwrap_phase_median_sin,0.0025491376361527454
pair13_unwrap_phase_median_sin,0.002546081335181207
pair23_phase_diff_mean,0.0025438590157482134
pair24_unwrap_phase_mean_sin,0.0025391457564114613
pair24_cov_phase_sin,0.002534164357742005
