model,window_accuracy_percent,window_mae_deg,window_mse_deg2,window_rmse_deg,window_r2,file_accuracy_percent,file_mae_deg,file_mse_deg2,file_rmse_deg,file_r2,num_test_windows,num_test_files
XGBoost,64.59052787370499,9.152072027627035,284.2470399605328,16.85962751547414,0.8137365434972359,94.28571428571428,0.8571428571428571,12.857142857142858,3.585685828003181,0.9916666666666667,8108,35
MLP,59.583127775037006,10.656142081894425,334.6694622594968,18.29397338632307,0.7806953738725633,97.14285714285714,0.8571428571428571,25.714285714285715,5.0709255283711,0.9833333333333333,8108,35
RandomForest,63.65318204242724,9.701529353724716,309.7496299950666,17.599705395121436,0.7970250218213558,91.42857142857143,1.7142857142857142,38.57142857142857,6.2105900340811875,0.975,8108,35
ExtraTrees,63.135175135668476,9.670078934385792,305.8923285643809,17.489777830618113,0.7995526622054117,88.57142857142857,2.5714285714285716,64.28571428571429,8.017837257372731,0.9583333333333334,8108,35
MUSIC,10.18746916625555,37.94585594474593,2071.259866798224,45.51109608434216,-0.35727014838521964,8.571428571428571,36.857142857142854,1825.7142857142858,42.72837799067835,-0.18333333333333335,8108,35
