model,accuracy_percent,mae_deg,rmse_deg,r2
XGBoost,94.28571428571428,0.8571428571428571,3.585685828003181,0.9916666666666667
MLP,97.14285714285714,0.8571428571428571,5.0709255283711,0.9833333333333333
RandomForest,91.42857142857143,1.7142857142857142,6.2105900340811875,0.975
ExtraTrees,88.57142857142857,2.5714285714285716,8.017837257372731,0.9583333333333334
MUSIC,8.571428571428571,36.857142857142854,42.72837799067835,-0.18333333333333335
