level,aoa_model,distance_model,aoa_accuracy_percent,aoa_mae_deg,aoa_rmse_deg,distance_mae_m,distance_rmse_m,distance_r2,mean_position_error_m,rmse_position_error_m,median_position_error_m,cep50_m,cep90_m,num_samples
window,XGBoostClassifier,ExtraTreesRegressor,65.39220522940306,8.915268870251603,16.5204385231906,0.5143672915638876,0.689448769381851,0.60519284217827,0.7859146275194021,1.0485654333020145,0.5799663177860859,0.5799663177860859,2.000574788639557,8108
file,XGBoostClassifier,ExtraTreesRegressor,94.28571428571428,0.8571428571428571,,0.4531428571428572,0.6074816608375666,0.6974119068868065,0.4943249014507844,0.635149438737293,0.5416666666666663,0.5416666666666663,0.8411666666666666,35
