model,num_test_files,mse_x,rmse_x_m,r2_x,mse_y,rmse_y_m,r2_y,mse_2d,rmse_2d_m,r2_2d,mean_2d_error_m,median_2d_error_m,max_2d_error_m,within_0_5m_percent,within_1m_percent,within_2m_percent
Proposed_Hybrid,35,0.19381778175067724,0.4402474097035407,0.9278485710609005,0.42207296734970245,0.6496714303012735,0.5462988049191329,0.6158907491003798,0.7847870724600271,0.7370736879900166,0.5745708253022023,0.4920995000000001,2.012750953697036,54.285714285714285,88.57142857142857,94.28571428571428
MLP,35,0.34439744218048385,0.5868538507844043,0.8717931484312533,0.2950321003488466,0.5431685745225386,0.6828595364540719,0.6394295425293304,0.7996433845967403,0.7773263424426626,0.6701499065291041,0.6091570708270425,1.862666361072338,45.714285714285715,80.0,100.0
RandomForest,35,0.3814589020937205,0.6176235925656666,0.8579964922774388,0.3271736243376295,0.5719909302931555,0.6483094729022669,0.7086325264313499,0.8418031399509923,0.7531529825898529,0.7117674935369567,0.6793685422200184,1.7617614287323353,42.857142857142854,71.42857142857143,100.0
XGBoost,35,0.38905043290748986,0.623739074379255,0.8551704368396912,0.3351971203737396,0.5789621061639005,0.6396847325803081,0.7242475532812293,0.8510273516645803,0.7474275847099996,0.744401705724839,0.6723516941794425,1.778244661446986,28.57142857142857,74.28571428571429,100.0
ExtraTrees,35,0.39903609077630914,0.6316930352444209,0.8514531335168254,0.3739792053675067,0.6115383923904587,0.5979964945965157,0.7730152961438158,0.8792128844277795,0.7247248140566706,0.7597874142449755,0.7490841624636491,1.8094444381124744,37.142857142857146,71.42857142857143,100.0
SVM_LinearSVR,35,0.7917636357290887,0.8898110112428868,0.7052547130409473,0.6174975560808947,0.7858101272450583,0.33622998669494353,1.409261191809983,1.187123073573243,0.5207423498679454,1.0181243692650133,0.9603643065011885,2.3753898888983964,20.0,51.42857142857142,88.57142857142857
