level,aoa_accuracy_percent,aoa_mae_deg,aoa_rmse_deg,distance_mae_m,distance_rmse_m,distance_r2,mean_position_error_m,rmse_position_error_m,median_position_error_m,cep50_m,cep90_m,num_samples
window,64.7878638381845,9.102121361618154,16.724943337713544,0.4985536604634517,0.6541430049368175,0.6445926380692,0.7824658502331819,1.0360344276243623,0.5695495009422303,0.5695495009422303,2.0004650859912227,8108
file,94.28571428571428,0.8571428571428571,,0.39854652881622316,0.5193445438499019,,0.43949727492448726,0.5514111954076449,0.48363947868347185,0.48363947868347185,0.7731956706577363,35
