model,mean_error_m,median_error_m,rmse_error_m,max_error_m
Raw Hybrid ExtraTrees-AoA + XGBoost-RSSI,0.8573815501841692,0.6438200473785399,1.1213859627306906,3.3872727161538525
Confidence-Gated Feedback-Corrected Hybrid Localization,0.8023636777127116,0.6582766389287042,1.0059110250352779,2.9301024708060184
