model,mse_x_m2,rmse_x_m,r2_x,mse_y_m2,rmse_y_m,r2_y,mse_2d_m2,rmse_2d_m,r2_2d,mae_x_m,mae_y_m,mean_2d_error_m,median_2d_error_m,max_2d_error_m,within_0_5m_percent,within_1m_percent,within_2m_percent,angle_accuracy_percent
RandomForest,0.4893025817299196,0.699501666709894,0.8198873340307027,0.48117178288571083,0.6936654690019612,0.4771731551260344,0.9704743646156305,0.9851265728908294,0.6485302445783684,0.5093600206449616,0.5272584858078913,0.8131863671889231,0.7175835232720762,2.7894594495058986,35.75481006413419,65.21953626048347,97.1632955106068,
XGBoost,0.4872965301257536,0.6980662791782408,0.8206257632072276,0.4927294569650506,0.7019469046623474,0.4646149327033824,0.9800259870908042,0.989962619037105,0.642620347955305,0.524837558031573,0.5559095934123922,0.8477454992790733,0.7749870055464534,2.97803754867344,30.192402565367537,65.36753823384312,97.28663048840652,
ExtraTrees,0.4910188265845538,0.7007273553847844,0.8192555829470861,0.5033377465250541,0.7094629987004637,0.4530882830588344,0.9943565731096081,0.9971742942483065,0.6361719330029598,0.522451229242428,0.5520023886814092,0.8404903747557441,0.7650582891483546,2.6741311058020845,32.46176615688209,64.24518993586581,97.00296003946718,
MLP,0.5523569890945451,0.743207231594624,0.7966769569846534,0.5513430637535979,0.742524789992629,0.4009271434482542,1.103700052848143,1.0505712983173219,0.5988020502164537,0.5497848450710107,0.5698981654235641,0.8727999991569354,0.7590599715865772,3.0158932706031365,32.33843117908239,64.29452392698569,94.75826344351258,
Hybrid_AoA_Distance,0.6717471987694451,0.8196018538104005,0.752729326708202,0.6360159253358976,0.7975060660182451,0.30892414858843575,1.3077631241053427,1.1435747129529152,0.53082673764832,0.5561904358241875,0.5771266566601744,0.8697479318308979,0.6699999999999999,3.2464613213637876,40.88554514060188,66.0458806117415,85.39713862851505,61.568820917612236
SVM_LinearSVR,0.8624752948711272,0.9286954801608153,0.6825221642144551,0.7620359874066626,0.8729467265570463,0.17199452431134277,1.6245112822777898,1.2745631731215954,0.42725834426289894,0.7159917359806025,0.6722544288916286,1.1029538393009979,0.9816173263615933,3.4301674793454042,18.26591021213616,51.04834731129748,88.332511100148,
